Establishment,Civil,Criminal,Both_Count
"Chief Metropolitan Magistrate, Central, THC",,1,1
"Chief Metropolitan Magistrate, Rouse Avenue",,4,4
"District and Sessions Judge, Central, THC",9,,9
"Senior Civil Judge cum RC, Central, THC",5,,5
"Chief Metropolitan Magistrate, North-West, RHC",,1,1
"Chief Metropolitan Magistrate, South-East , Saket",,1,1
"District and Sessions Judge, West, THC",1,,1
"Senior Civil Judge cum RC, West, THC",1,,1
"Chief Metropolitan Magistrate, Central, THC",,1,1
"Chief Metropolitan Magistrate, Rouse Avenue",,3,3
"District and Sessions Judge cum Special Judge PC Act CBI, Rouse Avenue",,1,1
"District and Sessions Judge, Central, THC",5,,5
"Senior Civil Judge cum RC, Central, THC",11,,11
"Chief Metropolitan Magistrate, New Delhi, PHC",,1,1
"District and Sessions Judge,New Delhi, PHC",1,,1
"Chief Metropolitan Magistrate, North-West, RHC",,2,2
"Chief Metropolitan Magistrate, West, THC",,1,1
"District and Sessions Judge, West, THC",3,,3
"Senior Civil Judge cum RC, West, THC",1,,1
"Chief Metropolitan Magistrate, Central, THC",,1,1
"Chief Metropolitan Magistrate, Rouse Avenue",,8,8
"District and Sessions Judge cum Special Judge PC Act CBI, Rouse Avenue",,1,1
"District and Sessions Judge, Central, THC",7,,7
"Senior Civil Judge cum RC, Central, THC",1,,1
"Chief Metropolitan Magistrate, New Delhi, PHC",,3,3
"Chief Metropolitan Magistrate, North-West, RHC",,1,1
"Chief Metropolitan Magistrate, South, Saket",,3,3
"Chief Metropolitan Magistrate, South, Saket",,3,3
"Chief Metropolitan Magistrate, South-East , Saket",,2,2
"District and Sessions Judge, South-East , Saket",1,,1
"Chief Metropolitan Magistrate, South-West DWK",,1,1
"Chief Metropolitan Magistrate, West, THC",,2,2
"District and Sessions Judge, West, THC",3,,3
"Chief Metropolitan Magistrate, Central, THC",,1,1
"Chief Metropolitan Magistrate, Rouse Avenue",,5,5
"District and Sessions Judge cum Special Judge PC Act CBI, Rouse Avenue",,1,1
"District and Sessions Judge, Central, THC",14,,14
"Senior Civil Judge cum RC, Central, THC",4,,4
"District and Sessions Judge, East, KKD",1,,1
"Chief Metropolitan Magistrate, New Delhi, PHC",,6,6
"Chief Metropolitan Magistrate, North, RHC",,1,1
"Chief Metropolitan Magistrate, North-East, KKD",,1,1
"Chief Metropolitan Magistrate, North-West, RHC",,1,1
"District and Sessions Judge, North-West, RHC",1,,1
"Senior Civil Judge cum RC, West, THC",1,,1
"Chief Metropolitan Magistrate, South, Saket",,3,3
"Chief Metropolitan Magistrate, South-East , Saket",,5,5
"Chief Metropolitan Magistrate, South-West DWK",,2,2
"Chief Metropolitan Magistrate, West, THC",,1,1
"District and Sessions Judge, West, THC",3,,3
